Job Title,Average Compensation (USD),Number of Engineers
R&D ENGINEER MANAGER,136000.00,2
PRINCIPAL ELECTRICAL ENGINEER (QUALITY),136000.00,1
WEB SERVICES ENGINEER,135500.00,2
SYSTEM ENGINEER MANAGER,135000.00,1
APPLICATION SECURITY ENGINEER,135000.00,1
LEAD SYSTEM ENGINEER,135000.00,1
PERFORMANCE ENGINEER,135000.00,1
SR. INFRASTRUCTURE ENGINEER,135000.00,1
SENIOR ENGINEERING SPECIALIST,135000.00,1
SYSTEMS TEST ENGINEER,135000.00,1
PRINCIPAL R&D ENGINEER,135000.00,1
BUSINESS INTELLIGENCE ENGINEER,135000.00,1
RESEARCH AND DEVELOPMENT ENGINEER,134318.08,2
SR RESEARCH ENGINEER,134000.00,1
SOFTWARE ENGINEER,133371.96,622
SENIOR RESEARCH ENGINEER,133237.50,2
AUTOMATION ENGINEER,132391.57,7
ENGINEERING PROGRAM AND OPERATIONS MANAGER,132000.00,1
INFRASTRUCTURE OPERATIONS ENGINEER,132000.00,1
RESIDENT ENGINEER ELECTRICAL,132000.00,1
STAFF SYSTEMS ENGINEER,131500.00,2
DEV/ENGINEERING MANAGER,131000.00,1
SR QUALITY ENGINEER,131000.00,2
SENIOR CLOUD ENGINEER,130700.00,5
SENIOR VIRTUALIZATION ENGINEER,130500.00,2
CYBER SECURITY ANALYST/ENGINEER,130000.00,1
ADVANCED ENGINEER/SCIENTIST,130000.00,1
ALGORITHM AND MACHINE LEARNING ENGINEER,130000.00,1
SYSTEMS ENGINEER STAFF,130000.00,1
UI ENGINEER,130000.00,1
SOFTWARE ENGINEER MANAGER,130000.00,1
SYSTEMS ENGINEER IV,130000.00,1
PRINCIPAL NETWORK DESIGN ENGINEER,130000.00,1
PRINCIPLE FIELD CLINICAL ENGINEER,130000.00,1
SOFTWARE IMPLEMENTATION ENGINEER,130000.00,1
SOFTWARE BUILD ENGINEER,130000.00,1
STORAGE ENGINEER,129080.00,5
SR DEV OPS ENGINEER,129000.00,1
FRONT-END SOFTWARE ENGINEER,129000.00,1
SENIOR SUPPORT ENGINEER,128333.33,3
SENIOR TECHNOLOGY ENGINEER,128000.00,1
SENIOR COST ENGINEER,127800.00,1
INDUSTRIAL ENGINEERING MANAGER,127800.00,1
SENIOR NETWORK SECURITY ENGINEER,127750.00,2
SENIOR DEVOPS ENGINEER,127178.78,18
SENIOR PLATFORM RELIABILITY ENGINEER,127000.00,1
SR. GENERATION ENGINEER,127000.00,1
MEP ENGINEER,127000.00,1
"R&D S&E, MECHANICAL ENGINEERING",127000.00,1
SITE RELIABILITY ENGINEER,126996.18,33
SR NETWORK ENGINEER,126933.33,3
LEAD ENGINEER,126344.55,11
ENGINEERING PROJECT MANAGER,126250.00,4
PRINCIPAL MECHANICAL SYSTEMS ENGINEER,126000.00,1
ENGINEER GROUP LEAD,126000.00,1
SENIOR SECURITY SYSTEMS ENGINEER,126000.00,1
FLIGHT TEST ENGINEER,125916.50,4
DISTRIBUTION ENGINEERING MANAGER,125500.00,1
SENIOR CYBERSECURITY ENGINEER,125500.00,1
SENIOR NETWORK ENGINEER,125075.15,13
LEAD MECHANICAL ENGINEER,125000.00,1
SR. PERFORMANCE ENGINEER,125000.00,1
APPLICATIONS ENGINEERING,125000.00,1
SENIOR TEST ENGINEER,125000.00,1
SENIOR SYSTEMS ENGINEER NETWORKS,125000.00,1
PRINCIPAL PROCESS CONTROL ENGINEER,125000.00,1
PRINICPAL ENGINEER,125000.00,1
OPERATIONS ENGINEERING MANAGER,125000.00,1
NETWORK SYSTEMS ENGINEER,125000.00,2
SYSTEMS ENGINEER SENIOR ADVISOR,125000.00,1
ASSOCIATE DIRECTOR OF SOFTWARE ENGINEERING,125000.00,1
MOBILE BROADCAST ENGINEER,125000.00,1
INFRASTRUCTURE SENIOR DESIGN ENGINEER,125000.00,1
SCADA ENGINEER,125000.00,1
SENIOR SYSTEMS ENGINEER 1W,124000.00,1
MARINE ENGINEER,124000.00,2
CUSTOMER APPLICATIONS ENGINEER,124000.00,1
SR DATA ENGINEER,124000.00,1
LEAD INFRASTRUCTURE ENGINEER,123800.00,1
SENIOR WIRELESS NETWORK ENGINEER,123500.00,1
ENGINEERING TEAM LEAD,123333.50,3
SR SYSTEMS ENGINEER,123075.00,12
MECHANICAL INTEGRITY ENGINEER,123000.00,1
SENIOR REPORTING ENGINEER,123000.00,1
SR. SOFTWARE ENGINEER,122615.79,19
SENIOR LEAD ENGINEER,122500.00,2
SR.ENGINEER,122500.00,1
COMPUTER ENGINEER,122500.00,4
CLINICAL DATA ENGINEER,122000.00,1
SYSTEMS ENGINEER I,122000.00,1
SENIOR FULLSTACK SOFTWARE ENGINEER,122000.00,1
SECURITY ENGINEER,121619.96,24
CHIEF ENGINEER,121500.00,10
SENIOR DESIGN ENGINEER,121428.57,7
MONITORING ENGINEER,121250.00,1
SR. ENGINEER,120833.33,6
SENIOR MECHANCIAL ENGINEER,120000.00,1
FULL STACK SOFTWARE ENGINEER,120000.00,1
SOFTWARE ENGINEER IV,120000.00,3
SR. CLOUD ENGINEER,120000.00,1
PRINCPAL ENGINEER,120000.00,1
SENOIR SOFTWARE ENGINEER,120000.00,1
SOC DESIGN ENGINEER,120000.00,1
NETWORK ENGINEER 2,120000.00,1
TECHNICAL SUPPORT ENGINEER I,120000.00,1
END USER EXPERIENCE ENGINEER,120000.00,1
FORMAL VERIFICATION ENGINEER,120000.00,1
SR. MESSAGING ENGINEER,120000.00,1
PETROLEUM ENGINEER,120000.00,1
STRUCTURAL / CIVIL ENGINEER,120000.00,1
RISK ASSESSMENT AND MITIGATION ENGINEER,120000.00,1
STAFF PROCESS ENGINEER,120000.00,1
SENIOR STAFF ASIC DESIGN ENGINEER,120000.00,1
SUPPLIER DEVELOPMENT ENGINEER,120000.00,1
SW ENGINEER,119900.00,1
SENIOR STORAGE ENGINEER,119501.00,2
SCHEDULING ENGINEER,119000.00,1
SENIOR SOLUTIONS ENGINEER,118566.67,3
MACHINE LEARNING ENGINEER,118531.75,4
PRINCIPAL HPC ENGINEER,118000.00,1
FULL STACK ENGINEER,118000.00,3
FRONT END ENGINEER,117966.20,5
INFORMATION SECURITY ENGINEER,117606.50,8
SENIOR SENSOR SYSTEMS ENGINEER,117000.00,1
PRINCIPAL TEST ENGINEER,117000.00,1
SENIOR ENGINEER,116845.68,62
SOFTWARE ENGINEER ADVANCED,116766.00,1
GAMEPLAY ENGINEER,116500.00,1
SOFTWARE ENGINEER III,116204.09,11
OPERATIONS ENGINEER,116154.17,9
SOLUTIONS ENGINEER,116062.50,8
SENIOR R&D ENGINEER,116000.00,1
TECHNICAL APPLCATION ENGINEER,116000.00,1
SENIOR EMBEDDED SOFTWARE ENGINEER,116000.00,1
SENIOR CLOUD AUTOMATION ENGINEER,115566.00,1
FIRMWARE ENGINEER,115500.00,4
SALES ENGINEER,115027.78,27
"SOFTWARE ENGINEER, ALGORITHMS",115000.00,1
ENGINEERING TECHNICAL SPECIALIST,115000.00,1
TECHNICAL INTEGRATION ENGINEER,115000.00,1
OPTICAL ENGINEER,115000.00,2
DEVOPS SECURITY ENGINEER,115000.00,1
DATABASE ENGINEER,115000.00,2
ELECTRICAL ENGINEERING MANAGER,114750.00,2
SENIOR EQUIPMENT & AUTOMATION ENGINEER,114000.00,1
FIELD ENGINEERING SUPERVISOR,114000.00,3
SOFTWARE SYSTEMS ENGINEER,113933.33,3
APPLICATION ENGINEER,113580.00,6
VIRTUALIZATION ENGINEER,113250.00,4
"SR MANAGER, SOFTWARE ENGINEERING",113000.00,1
SENIOR SYSTEM DESIGN ENGINEER,113000.00,1
SR. NETWORK ENGINEER,113000.00,1
FIELD APPLICATIONS ENGINEER,113000.00,1
DEV OPS ENGINEER,113000.00,1
SR. IT SECURITY ENGINEER,112500.00,1
SATELLITE OPERATIONS ENGINEER,112500.00,2
ENGINEER STRUCTURES 4,112200.00,1
SOFTWARE ENGINEER 4,111500.00,2
SENIOR ELECTRICAL ENGINEER,111428.57,7
SENIOR SYSTEMS ENGINEER,110422.72,52
LIFECYCLE ENGINEER,110090.00,1
NETWORK ENGINEERING LEAD,110000.00,1
SR. QUALITY ENGINEER,110000.00,1
PRINCIPAL ENGINEER OF ENERGETICS MANUFACTURING,110000.00,1
EUC ENGINEER,110000.00,1
TRANSMISSION ENGINEER,110000.00,1
TECHNOLOGY ANALYST / SOFTWARE ENGINEER,110000.00,1
ANALOG DESIGN ENGINEER,110000.00,1
SR SECURITY ENGINEER,110000.00,1
SUCCESS ENGINEER,110000.00,2
INFORMATION SYSTEMS ENGINEER II,110000.00,1
SR. DESIGN ENGINEER,110000.00,2
CIVIL ENGINEER-ENVIORNMENTAL,110000.00,1
SHIPBOARD ENGINEER,110000.00,1
SR ENGINEERING DEVELOPMENT SUPERVISOR,109300.00,1
SENIOR INFRASTRUCTURE ENGINEER,109169.23,13
SR. SYSTEMS ENGINEER,109166.67,3
APPLICATION SUPPORT ENGINEER,109000.00,2
SOFTWARE ENGINEER II,108960.18,17
SENIOR DEVELOPMENT OPERATIONS ENGINEER,108650.00,1
ENGINEER,108325.36,167
CLIENT PLATFORM ENGINEER,108250.00,2
AEROPSACE ENGINEER,108222.00,1
ENGINEERING SUPERVISOR,108200.00,5
SR MECHANICAL ENGINEER,108000.00,1
IT SYSTEMS ENGINEER II,108000.00,1
LOCOMOTIVE ENGINEER,108000.00,2
SR. SOFTWARE TEST ENGINEER,108000.00,1
SR. CYBER SECURITY ENGINEER,108000.00,1
SUPERVISORY ENGINEER,108000.00,1
ANALYTICS ENGINEER,107500.00,2
FACILITIES ENGINEER,107500.00,3
DESKTOP ENGINEERING MANAGER,107500.00,1
TESTING AND MODELING ENGINEER,107500.00,1
NUCLEAR ENGINEER,107333.33,3
BUILD AND RELEASE ENGINEER,107000.00,1
DESIGN VERIFICATION ENGINEER,107000.00,1
SENIOR PRINCIPAL SUPPORT ENGINEER,107000.00,1
DESIGN QUALITY ENGINEER,107000.00,1
SR DESIGN ENGINEER,107000.00,1
IT SECURITY ENGINEER,106250.00,2
PRODUCTION ENGINEER,106000.00,3
SYSTEMS/NETWORK ENGINEER,106000.00,1
SITE RELIABILITY ENGINEER II,106000.00,2
SENIOR SYSTEM ENGINEER,105500.00,7
ENGINEER 3,105500.00,2
SOFTWARE ENGINEER 3,105139.38,4
SR ENGINEER,105100.00,5
UNIX ENGINEER,105000.00,1
SENIOR BATTERY ENGINEER,105000.00,1
"SOFTWARE ENGINEER, SENIOR",105000.00,1
PRODUCTION SUPPORT ENGINEER,105000.00,1
SR. PROCESS ENGINEER,105000.00,1
CLOUD SUPPORT ENGINEER L4,105000.00,1
AREA ENGINEER,105000.00,1
SENIOR SYSTEMS ENGINEER II,105000.00,1
TRAFFIC ENGINEER,105000.00,1
SENIOR AUTOMATION ENGINEER,105000.00,1
SR APPLICATIONS ENGINEER,105000.00,1
SENIOR DEVICE DEVELOPMENT ENGINEER,105000.00,1
LEAD VIDEO ENGINEER,105000.00,1
ENGINEERING SERVICES MANAGER,105000.00,1
SYSTEMS RELIABILITY ENGINEER,105000.00,2
PROCESS ENGINEERING SUPERVISOR,105000.00,1
COMPONENT ENGINEER,105000.00,1
SENIOR CUSTOMER SUPPORT ENGINEER,105000.00,1
PLANT ENGINEER,104666.67,3
SENIOR CLIENT ENGINEER,104603.00,1
RESERVOIR ENGINEER,104448.75,4
TEST ENGINEER,104126.43,14
STAFF INDUSTRIAL ENGINEER,104040.00,1
SR RISK ENGINEERING CONSULTANT,104000.00,1
CYBERSECURIT TEST ENGINEER,104000.00,1
CUSTOMER ENGINEER,104000.00,1
LINUX SYSTEMS ENGINEER,103800.00,2
LEAD DEVOPS ENGINEER,103666.67,3
TECHNICAL SOLUTIONS ENGINEER,103666.67,3
ENGINEERING IPT LEAD - SAP,103500.00,1
GENERAL ENGINEER,103370.33,3
TELECOMMUNICATIONS ENGINEERING ANALYST,103000.00,1
SYSTEMS ENGINEER 3,103000.00,1
SYSTEM AND NETWORK ENGINEER,102750.00,2
SYSTEMS ENGINEER III,102571.43,7
SENIOR APPLICATIONS ENGINEER,102400.00,1
SR. INDUSTRIAL ENGINEER,102000.00,1
NETWORK AND SECURITY ENGINEER,102000.00,1
HMI APPLICATIONS ENGINEER,102000.00,1
APPLICATIONS ENGINEERING MANAGER,102000.00,1
SOFTWARE DEVELOPMENT ENGINEER IN TEST,102000.00,2
MID-LEVEL SOFTWARE ENGINEER,101800.00,1
CHEMICAL ENGINEER,101729.62,8
R&D MECHANICAL ENGINEER,101600.00,2
SR. PROJECT ENGINEER,101544.00,3
TEST ENGINEER III,101000.00,1
AUTOMATION PROJECT ENGINEER,101000.00,1
ADVANCED MANUFACTURING ENGINEER,100856.00,1
DEVOPS ENGINEER,100816.62,61
DATA ENGINEER,100638.35,25
UNIX SYSTEMS ENGINEER,100333.33,3
SENIOR INFORMATION SECURITY ENGINEER,100200.00,1
PRODUCT SAFETY ENGINEER,100100.00,1
ELECTRICAL PROJECT LEAD ENGINEER,100100.00,1
IT ENGINEER II,100000.00,1
SYSTEMS APPLICATIONS ENGINEER,100000.00,1
COLLABORATION ENGINEER,100000.00,1
CHIEF RESEARCH ENGINEER,100000.00,1
FIELD DATA ENGINEER,100000.00,1
COMPUTER SYSTEMS ENGINEER 1,100000.00,1
SR PRODUCT ENGINEER,100000.00,1
SENIOR WINDOWS SYSTEMS ENGINEER,100000.00,1
LINUX SUPPORT ENGINEER,100000.00,1
CYBERARK ENGINEER,100000.00,1
SR. TELECOM ENGINEER,100000.00,1
QUALITY ENGINEER MANAGER,100000.00,1
SENIOR EHS ENGINEER,100000.00,1
SENIOR MANUFACTURING ENGINEER,100000.00,3
LEAD MAC ENGINEER,100000.00,1
SECURITY SUPPORT ENGINEER,100000.00,1
TECH SUPPORT ENGINEER,100000.00,1
LEAD PROJECT ENGINEER,100000.00,1
SENIOR DEVELOPMENT ENGINEER,100000.00,1
ENGINEER/ANALYST,100000.00,1
CONTROL ENGINEER,100000.00,1
MANUFACTURING PROJECT ENGINEER,99800.00,1
ENGINEERING TEAM LEADER,99800.00,1
SENIOR QA ENGINEER,99750.00,4
SENIOR CONTROLS ENGINEER,99666.67,3
PACKAGING ENGINEER,99500.00,2
PROJECT ENGINEER/MANAGER,99300.00,1
CYBER SECURITY ENGINEER,99166.67,6
FRONTEND ENGINEER,99000.00,4
SENIOR TEST ENGINEER - PRODUCTION ENGINEERING,99000.00,1
RF DESIGN ENGINEER,99000.00,1
BIOMEDICAL ENGINEER,98500.00,2
CYBER SYSTEMS ENGINEER,98500.00,1
INTEGRATION ENGINEER,98250.00,2
SENIOR SOFTWARE  ENGINEER,98100.00,1
SENIOR SYSTEMS ENGINEER I,98000.00,1
SENIOR DESIGN & DEVELOPMENT ENGINEER,98000.00,1
IT PROJECT ENGINEER,98000.00,1
END USER SERVICE ENGINEER,98000.00,1
ENERGY ENGINEER,97833.33,3
SR. DATA ENGINEER,97700.00,1
CYBERSECURITY ENGINEER,97671.43,7
SERVICE ENGINEER,97666.67,3
INTEGRATIONS ENGINEER,97500.00,2
SUPPORT ESCALATION ENGINEER,97500.00,1
SENIOR QUALITY ENGINEER,97500.00,6
DEVELOPMENT ENGINEER,97500.00,2
BROADCAST ENGINEER,97500.00,1
ELECTRICAL ENGINEER,97153.29,55
ENERGY RESEARCH ENGINEER,97000.00,1
"SR. ENGINEER, CLOUD OPS",97000.00,1
"PROJECT MANAGER, CIVIL ENGINEER, PE",97000.00,1
QUALITY ENGINEERING SUPERVISOR,97000.00,1
ASSISTANT ENGINEER,97000.00,2
LEAD PROJECT ANALYST ENGINEER,97000.00,1
SYSTEMS ENGINEER,96596.36,158
ESCALATION ENGINEER,96259.00,1
